round,x_1,x_2,x_3,x_4,balance_error_kw,cost
200,320.64298846755975,82.21501708161888,227.05610152255332,170.08589292826733,-6.821210263296962e-13,957041.4712420494
210,320.6600039264444,82.1685336158433,227.07512410895663,170.09633834875484,-7.958078640513122e-13,957039.1266567684
220,320.67333372694293,82.13216180263308,227.08999235407222,170.10451211635086,-9.094947017729282e-13,957037.2961772885
230,320.683782296146,82.10367799544987,227.10162623923424,170.110913469169,-9.094947017729282e-13,957035.8651788294
240,320.6919761754061,82.08135674914074,227.11073710277222,170.11592997267996,-9.094947017729282e-13,957034.7453172997
250,320.6984042281586,82.06385569865975,227.11787684962718,170.11986322355358,-9.094947017729282e-13,957033.868229812
260,320.70344843569086,82.05012835531574,227.12347483310674,170.1229483758858,-9.094947017729282e-13,957033.1808469722
270,320.7074076016027,82.03935756628204,227.12786576734004,170.1253690647743,-9.094947017729282e-13,957032.6418678865
280,320.71051567244194,82.0309044400569,227.13131101577736,170.12726887172292,-9.094947017729282e-13,957032.2190865673
290,320.71295594428415,82.02426895610841,227.13401492789538,170.12876017171112,-9.094947017729282e-13,957031.8873497978
300,320.7148721085434,82.01905946968806,227.13613743736218,170.12993098440546,-9.094947017729282e-13,957031.6269884045
310,320.71637685861447,82.0149690311505,227.13780381497583,170.13085029525834,-9.094947017729282e-13,957031.4226066493
320,320.71755860741075,82.01175695243434,227.1391122422159,170.13157219793814,-9.094947017729282e-13,957031.2621445411
330,320.7184867375469,82.00923443045549,227.14013970675347,170.13213912524324,-9.094947017729282e-13,957031.1361494064
340,320.7192157090966,82.00725331749133,227.14094660056102,170.13258437285012,-9.094947017729282e-13,957031.0372086925
350,320.7197882762419,82.0056973391403,227.1415803115943,170.1329340730226,-9.094947017729282e-13,957030.9595074959
360,320.7202380078145,82.00447521987003,227.14207803270085,170.13320873961374,-9.094947017729282e-13,957030.898482882
370,320.72059126341657,82.00351529776988,227.14246896043173,170.13342447838096,-9.094947017729282e-13,957030.8505535091
380,320.7208687433577,82.00276130341443,227.14277601755444,170.13359393567254,-9.094947017729282e-13,957030.8129079571
390,320.7210867047208,82.00216904965986,227.14301720323294,170.13372704238577,-6.821210263296962e-13,957030.7833388959
400,320.7212579157221,82.0017038348423,227.14320665184576,170.13383159758934,-4.547473508864641e-13,957030.7601130893
410,320.7213924048391,82.00133840504304,227.14335546361912,170.13391372649824,-4.547473508864641e-13,957030.7418694514
420,320.7214980489344,82.001051354697,227.1434723564368,170.13397823993125,-5.684341886080801e-13,957030.7275390658
430,320.7215810350363,82.00082587102811,227.14356417743997,170.13402891649494,-6.821210263296962e-13,957030.7162824235
440,320.72164622295463,82.0006487482601,227.14363630464814,170.1340687241364,-6.821210263296962e-13,957030.7074401606
450,320.7216974300482,82.00050961355254,227.1436929622876,170.13409999411095,-6.821210263296962e-13,957030.7004943846
460,320.7217376548705,82.00040031913615,227.14373746839473,170.13412455759791,-6.821210263296962e-13,957030.6950383093
470,320.7217692528216,82.00031446493011,227.1437724292573,170.13414385299026,-6.821210263296962e-13,957030.690752413
