round,x_1,x_2,x_3,x_4,x_5,x_6,balance_error_kw,cost
0,300.0,250.0,200.0,200.0,40.0,160.0,0.0,1431191.45
10,320.5909830991223,179.29427398712636,210.12280210896,182.67490348632117,43.581649722483945,213.7353875959862,0.0,1388332.3475919724
20,324.1984810023757,143.47138457378227,218.54850077640472,176.42655207621019,46.90230896842925,240.45277260279784,0.0,1371788.6182998838
30,325.97383877438625,124.43833723975314,223.85281653204584,174.13828914958248,49.74446736548975,251.85225093874257,0.0,1364795.894653615
40,327.27885920034157,113.28833509495523,227.24553260682399,173.47452166142668,52.0916023762469,256.6211490602057,0.0,1361373.6582652049
50,328.27853054421627,106.17622352583902,229.50142491257296,173.46116840521756,53.97712895426004,258.60552365789437,2.2737367544323206e-13,1359473.9650796244
60,329.0552811012241,101.32688223756253,231.05427703178628,173.6779436788487,55.45854369508998,259.4270722554886,2.2737367544323206e-13,1358309.39527712
70,329.6755041984637,97.84682674960321,232.15772727949982,173.95218578852928,56.602224412281984,259.7655315716222,2.2737367544323206e-13,1357541.5698305203
80,330.1864637819534,95.24893786109604,232.96737013776863,174.2196248074599,57.47323810655538,259.90436530516695,2.2737367544323206e-13,1357009.8119966073
90,330.6186336117591,93.24868393958157,233.58125744293287,174.46061690236323,58.129704128210115,259.96110397515355,4.547473508864641e-13,1356629.899973319
100,330.9910734958556,91.66996481128432,234.0619099258145,174.6722829732599,58.620549465587835,259.9842193281985,6.821210263296962e-13,1356353.2295277484
110,331.3159919778903,90.39844803161151,234.44946173918026,174.85713830915034,58.98534869736957,259.9936112447986,6.821210263296962e-13,1356149.31454492
120,331.601678880834,89.3569192461934,234.76990089840052,175.01885124312037,59.255231358410406,259.9974183730419,6.821210263296962e-13,1355997.7972669601
130,331.8541702654525,88.49150028974879,235.04029872888927,175.16087005370662,59.45420215193114,259.9989585102723,6.821210263296962e-13,1355884.5045219103
140,332.07814267185205,87.76355226265441,235.27211263363324,175.2861044582461,59.60050752414263,259.99958044947226,6.821210263296962e-13,1355799.3145463543
150,332.27738808193703,87.14471171337091,235.4732527239408,175.3969441440957,59.707872129216035,259.99983120744025,6.821210263296962e-13,1355734.89153341
160,332.455072910136,86.6137349240368,235.64936483933593,175.49535519461944,59.78653996228703,259.9999321695854,6.821210263296962e-13,1355685.873993437
170,332.6138880065559,86.15442832825416,235.80462400184143,175.58297344100902,59.844113452620846,259.99997276971925,6.821210263296962e-13,1355648.3241045787
180,332.75614326011953,85.75425439991186,235.9422257625777,175.6611768638998,59.88621063502709,259.9999890784646,4.547473508864641e-13,1355619.3405671746
