round,x_1,x_2,x_3,x_4,balance_error_kw,cost
530,320.72188556547667,82.00000002892881,227.14389977559824,170.13421462999716,9.094947017729282e-13,957030.6750557419
540,320.7218854002904,82.00000001961271,227.14389997925488,170.1342146008429,9.094947017729282e-13,957030.6750552768
550,320.72188528245636,82.00000001329673,227.14390012426253,170.13421457998527,9.094947017729282e-13,957030.6750549616
560,320.7218851984148,82.00000000901471,227.14390022750322,170.13421456506813,9.094947017729282e-13,957030.6750547477
570,320.7218851384843,82.00000000611166,227.14390030100205,170.13421455440286,9.094947017729282e-13,957030.6750546029
580,320.72188509575403,82.00000000414353,227.14390035332357,170.13421454677982,9.094947017729282e-13,957030.6750545048
590,320.7218850652918,82.00000000280916,227.14390039056724,170.13421454133274,9.094947017729282e-13,957030.6750544382
600,320.7218850435785,82.0000000019045,227.14390041707648,170.13421453744147,9.094947017729282e-13,957030.6750543929
610,320.72188502810315,82.00000000129117,227.14390043594412,170.13421453466236,7.958078640513122e-13,957030.6750543622
620,320.72188501707524,82.00000000087536,227.14390044937224,170.134214532678,7.958078640513122e-13,957030.6750543413
630,320.7218850092175,82.00000000059345,227.14390045892853,170.1342145312614,9.094947017729282e-13,957030.6750543274
640,320.7218850036192,82.00000000040232,227.14390046572905,170.13421453025038,9.094947017729282e-13,957030.6750543179
650,320.7218849996312,82.00000000027275,227.14390047056818,170.13421452952895,1.0231815394945443e-12,957030.6750543118
660,320.72188499679044,82.00000000018493,227.1439004740116,170.13421452901426,1.2505552149377763e-12,957030.6750543076
670,320.72188499476704,82.00000000012537,227.14390047646168,170.13421452864708,1.1368683772161603e-12,957030.6750543044
680,320.721884993326,82.00000000008502,227.14390047820487,170.1342145283852,1.1368683772161603e-12,957030.6750543023
690,320.72188499230003,82.00000000005764,227.1439004794452,170.1342145281985,1.3642420526593924e-12,957030.6750543014
700,320.7218849915693,82.00000000003908,227.1439004803276,170.1342145280654,1.3642420526593924e-12,957030.6750543005
710,320.721884991049,82.00000000002649,227.14390048095532,170.13421452797047,1.3642420526593924e-12,957030.6750542998
720,320.72188499067863,82.00000000001796,227.14390048140191,170.13421452790283,1.3642420526593924e-12,957030.6750542994
730,320.721884990415,82.00000000001218,227.1439004817196,170.13421452785462,1.3642420526593924e-12,957030.6750542992
740,320.7218849902273,82.00000000000826,227.1439004819456,170.13421452782026,1.3642420526593924e-12,957030.6750542991
750,320.72188499009366,82.00000000000558,227.14390048210635,170.13421452779576,1.3642420526593924e-12,957030.6750542987
760,320.72188498999856,82.0000000000038,227.14390048222066,170.13421452777834,1.3642420526593924e-12,957030.6750542987
770,320.72188498993086,82.00000000000259,227.14390048230203,170.13421452776592,1.3642420526593924e-12,957030.6750542987
780,320.7218849898827,82.00000000000176,227.14390048235987,170.13421452775702,1.3642420526593924e-12,957030.6750542986
790,320.7218849898485,82.0000000000012,227.14390048240102,170.13421452775077,1.4779288903810084e-12,957030.6750542987
800,320.7218849898241,82.00000000000081,227.14390048243027,170.1342145277463,1.4779288903810084e-12,957030.6750542987
810,320.72188498980677,82.00000000000054,227.1439004824511,170.1342145277431,1.4779288903810084e-12,957030.6750542987
