round,x_1,x_2,x_3,x_4,x_5,x_6,balance_error_kw,cost
0,300.0,250.0,200.0,200.0,40.0,160.0,0.0,1431191.45
10,314.2952339291713,134.92419314085626,239.94627251373007,187.8150275046043,42.284997508412644,230.7342754032255,0.0,1376041.008957006
20,316.4808467335528,107.4429725744091,245.90398168796978,183.82847610805027,44.36988034588641,251.97384255013168,0.0,1365957.7747723474
30,320.0370472673498,97.17961504711245,246.93914050529364,181.83105227064263,46.180139087953116,257.83300582164844,0.0,1362756.7537817324
40,323.14515517421034,92.23535173900683,246.73836738368914,180.6541120639101,47.793455542391,259.4335580967927,0.0,1361298.8693668074
50,325.43617855705577,89.43808170768162,246.13179895169347,179.8928515447666,49.24491332348314,259.8561759153197,2.2737367544323206e-13,1360397.88473051
60,327.05661801462605,87.6675952420258,245.39711152951932,179.36438211068705,50.55003026674551,259.96426283639653,2.2737367544323206e-13,1359716.9029178647
70,328.2118439330676,86.45454386166382,244.64733545969426,178.975921598584,51.71909834185625,259.99125680513436,2.2737367544323206e-13,1359151.961518316
80,329.0558682773072,85.57549250703592,243.93192660418342,178.67726906706733,52.76155856385046,259.9978849805561,4.547473508864641e-13,1358666.706986154
90,329.68921577531205,84.91248724428716,243.27192892096534,178.43988349673668,53.68699188869529,259.9994926740039,4.547473508864641e-13,1358245.0606170823
100,330.17581526456587,84.39774199469488,242.67469234131255,178.24671282234578,54.505158479934394,259.9998790971471,4.547473508864641e-13,1357877.5201294986
110,330.5569692254653,83.9894968054173,242.1407588122038,178.08699680156093,55.22580702121586,259.99997133413723,4.547473508864641e-13,1357557.088555029
120,330.86018673461757,83.66051832238323,241.667303179783,177.95353764638114,55.85846088568523,259.99999323115037,4.547473508864641e-13,1357277.9866661723
130,331.1044053293755,83.3921957418591,241.2499222865301,177.8412384956695,56.412239739583875,259.9999984069825,6.821210263296962e-13,1357035.2013820966
140,331.3030682528656,83.17130948769108,240.88358778585078,177.74630500226849,56.89572984521228,259.99999962611236,6.821210263296962e-13,1356824.302246423
150,331.46597831388135,82.98816374785527,240.56315929333292,177.66579760044627,57.316901132039845,259.999999912445,6.821210263296962e-13,1356641.350958095
160,331.60044983107855,82.83545565503401,240.28365941791213,177.59737117966174,57.683063936779,259.99999997953535,6.821210263296962e-13,1356482.84563379
170,331.71204793025754,82.70756221929175,240.04041644413303,177.5391163717975,58.000857039296676,259.99999999522424,6.821210263296962e-13,1356345.678781549
180,331.80507769975804,82.60007435112223,239.82913176352562,177.48945718515554,58.276259001552255,259.99999999888695,6.821210263296962e-13,1356227.10104018
190,331.88291690134054,82.5094825044707,239.64590376835073,177.4470809521161,58.514615873981704,259.9999999997409,6.821210263296962e-13,1356124.6877296157
200,331.94824791998246,82.43295843956949,239.4872263637266,177.41088768244632,58.72067959433616,259.99999999993975,6.821210263296962e-13,1356036.3072572243
